city,face.present.rate.alt,face.present.rate.alt.tree,solo.face.rate.alt,solo.face.rate.alt.tree,social.face.rate.alt,social.face.rate.alt.tree
Oklahoma City,3.17217053451766,3.16623028650214,3.1710904689399,3.16293914962234,3.16906416913935,3.08025878385212
Omaha,3.17396847759108,3.17109334144643,3.17365799201084,3.16770517959617,3.16764029409545,3.07558531078399
Philadelphia,3.17273138020515,3.17017813936215,3.17250219970876,3.16997030122669,3.17039432952468,3.15231269087314
Phoenix,3.16974513134827,3.17123413575001,3.16881094989439,3.17076925338728,3.16783457679105,3.1209503940132
Portland,3.1670370124335,3.16242451398764,3.16670113184327,3.16136183770569,3.15934673824104,3.10430741609711
Raleigh,3.16723207637744,3.15362385946994,3.16827474333006,3.15296514434602,3.1507744251803,3.07079951012199
Riverside,3.171239271308,3.1427035652092,3.17185724148541,3.14997491613476,3.12702750077888,2.8786025009415
Sacramento,3.17107568575051,3.16119966129224,3.16987031941711,3.15892130725531,3.16372477972485,3.0842528172755
San Antonio,3.17568545907383,3.17218038575823,3.17543179815059,3.17182092008975,3.1700359627959,3.14177561610552
San Diego,3.16885759105621,3.16084525960395,3.1687061941428,3.15947751989916,3.16142089726058,3.14582807785425
San Francisco,3.15755777112987,3.14547276586648,3.16115050941267,3.1487997956443,3.13294234609266,3.04787154677741
San Jose,3.16072610669275,3.1293525701085,3.16554547239026,3.13586236586218,3.12428595256917,3.0204597339856
Santa Ana,3.17331661002606,3.16535505845206,3.17271814491876,3.16279568504795,3.14336463105749,2.96817531639646
Seattle,3.15995433040259,3.1394726671433,3.16323061932664,3.13761818816159,3.12957680874227,3.07628273647228
St. Louis,3.16392348179718,3.15402527481141,3.16496914388373,3.15325403571758,3.14348706481626,3.05844106738517
Tampa,3.17170669117683,3.16653039773667,3.17250969654187,3.1660946598097,3.1604717899041,3.11207893223372
Tucson,3.16989194920908,3.16344992830059,3.17084838122423,3.15911493342064,3.16098929338893,3.01955539317279
Tulsa,3.17404906343111,3.168337795695,3.17293910715067,3.16975130489298,3.15907755269501,3.07081128286957
Virginia Beach,3.16931794404337,3.16168005092227,3.16681921519644,3.15874776654019,3.15616937466751,3.10113876088572
Washington,3.16090230749695,3.15378889069837,3.16202357327317,3.15209585075127,3.15279778788165,3.12912459974201
Wichita,3.17555563508159,3.16864631730629,3.1755732646016,3.16663056869544,3.17062728681391,3.11542720107525
